BUD,20170901,LOW
BUD,20170630,LOW
BUD,20170531,LOW
BUD,20170308,LOW
BUD,20170124,LOW
BUD,20161217,LOW
BUD,20151219,LOW
BUD,20150827,LOW
BUD,20150807,LOW
BUD,20150617,LOW
BUD,20150416,LOW
BUD,20150306,LOW
BUD,20150206,LOW
BUD,20150117,LOW
BUD,20141228,LOW
T,20181215,LOW
T,20161215,LOW
T,20160629,LOW
T,20151117,LOW
T,20150821,LOW
T,20150522,LOW
T,20141218,LOW
BAC,20190508,LOW
BAC,20181222,LOW
BAC,20181115,LOW
BAC,20180829,LOW
BAC,20180809,LOW
BAC,20161216,LOW
BAC,20151215,LOW
BAC,20150808,LOW
BBL,20190602,LOW
BP,20150815,LOW
CVX,20171219,LOW
CVX,20161118,LOW
CVX,20150909,LOW
CVX,20150507,LOW
CHL,20190419,LOW
CHL,20190328,LOW
CHL,20190308,LOW
CHL,20190216,LOW
C,20161217,LOW
KO,20190430,LOW
KO,20190403,LOW
KO,20190224,LOW
KO,20190124,LOW
KO,20181214,LOW
KO,20180928,LOW
KO,20180705,LOW
KO,20180531,LOW
KO,20180509,LOW
KO,20171209,LOW
KO,20170908,LOW
KO,20160331,LOW
KO,20150829,LOW
KO,20150613,LOW
KO,20131111,LOW
KO,20130925,LOW
XOM,20131011,LOW
FMX,2019-06-21 00:00:00,LOWEST
HD,20190602,LOW
HD,20190501,LOW
HD,20190404,LOW
HD,20190315,LOW
HD,20190202,LOW
HD,20190113,LOW
HD,20181224,LOW
HON,20190602,LOW
HON,20190513,LOW
HON,20190423,LOW
HON,20190329,LOW
HON,20190309,LOW
HON,20190112,LOW
HON,20181223,LOW
HON,20181203,LOW
HON,20181110,LOW
HON,20180904,LOW
HON,20180725,LOW
HON,20180630,LOW
HON,20180610,LOW
HON,20170823,LOW
HON,20161221,LOW
HON,20161126,LOW
HON,20161102,LOW
HON,20160524,LOW
HON,20160315,LOW
HON,20160202,LOW
HON,20160109,LOW
HON,20151113,LOW
HON,20150902,LOW
HON,20150813,LOW
HON,20150627,LOW
HON,20150527,LOW
HON,20150327,LOW
HON,20150210,LOW
HON,20150103,LOW
HON,20141125,LOW
HON,20141105,LOW
HON,20140827,LOW
HON,20140805,LOW
HON,20140624,LOW
HON,20140527,LOW
HON,20140507,LOW
HON,20140318,LOW
HON,20140213,LOW
HON,20131223,LOW
HON,20131127,LOW
HON,20130823,LOW
HSBC,20181221,LOW
HSBC,20161220,LOW
HSBC,20161123,LOW
HSBC,20140403,LOW
HSBC,20131218,LOW
JPM,20150318,LOW
JPM,20150128,LOW
JPM,20150108,LOW
JPM,20141219,LOW
JNJ,20180125,LOW
JNJ,20160827,LOW
JNJ,20150919,LOW
JNJ,20150830,LOW
JNJ,20150805,LOW
JNJ,20150624,LOW
JNJ,20140808,LOW
JNJ,20140625,LOW
JNJ,20130807,LOW
JNJ,20130626,LOW
LIN,20190602,LOW
LIN,20190513,LOW
LIN,20190420,LOW
LIN,20190331,LOW
LIN,20190311,LOW
MA,20190601,LOW
MA,20190409,LOW
MA,20190216,LOW
MA,20181004,LOW
MA,20180829,LOW
MA,20180706,LOW
MA,20180608,LOW
MA,20180519,LOW
MA,20171228,LOW
MA,20170811,LOW
MA,20170408,LOW
MA,20161215,LOW
MA,20160811,LOW
MA,20160607,LOW
MA,20160408,LOW
MA,20160303,LOW
MA,20160212,LOW
MA,20160109,LOW
MA,20151220,LOW
MA,20150527,LOW
MA,20150228,LOW
MA,20141206,LOW
MA,20141116,LOW
MA,20140913,LOW
MA,20140807,LOW
MA,20140502,LOW
MA,20140408,LOW
MA,20131225,LOW
MA,20131120,LOW
MA,20131010,LOW
MA,20130903,LOW
MA,20130801,LOW
MA,20130711,LOW
MCD,20190329,LOW
MCD,20190305,LOW
MCD,20190213,LOW
MCD,20181226,LOW
MCD,20181106,LOW
MCD,20180930,LOW
MCD,20180821,LOW
MCD,20180621,LOW
MCD,20171227,LOW
MCD,20171114,LOW
MCD,20170627,LOW
MCD,20161214,LOW
MCD,20160311,LOW
MCD,20151223,LOW
MCD,20140103,LOW
MCD,20131115,LOW
MCD,20130625,LOW
MDT,2019-06-21 00:00:00,LOWEST
MRK,20190402,LOW
MRK,20180728,LOW
MRK,20180629,LOW
MRK,20161220,LOW
MRK,20151218,LOW
MRK,20151124,LOW
MRK,20150804,LOW
MRK,20150702,LOW
MRK,20150324,LOW
NKE,20190602,LOW
NKE,20190413,LOW
NKE,20190123,LOW
NKE,20181123,LOW
NKE,20180720,LOW
